,Eldorado,HPServ,HPR&D,Dell,DBServer,Datum,TOTVS,ThoughtWorks,Netwall,Toth,CADS,Engeltec,TIVEA,Sequor SW Ind,Rockhead,SOHA,Pandorga,SmartMoney,SmartLife,WGS,SouthSystem,Sevenia,Beyond Domotics
Necessidades_2-21 Metodologias_DevOps (interdependência entre desenvolvimento e operações),,5,5,4,2,3,4,6,4,,,2,3,2,,3,,,,2,,2,
Necessidades_2-22 Metodologias_Lean,,2,5,5,2,3,5,6,4,,,2,3,2,,3,,,4,2,,3,5
Necessidades_2-23 Metodologias_Métodos ágeis,,2,5,6,2,3,5,6,4,,3,2,3,2,,3,,,5,4,,3,4
Necessidades_2-24 Metodologias_Interativa,,2,5,5,,3,2,5,4,,,2,3,2,,3,,,3,2,,3,2
Necessidades_2-25 Metodologias_Waterfall,,2,4,5,,3,2,,2,,,2,3,2,,2,,,2,2,,2,
Necessidades_2-26 Outros_Automação industrial / comercial (Software),2,2,5,3,2,3,,,2,,,3,3,2,,,,,5,2,,,
"Necessidades_2-27 Outros_Enterprise Software (centralizado, usado em toda empresa)",,2,5,6,,3,2,,2,,,3,3,2,,,,,2,2,,,
Necessidades_2-28 Outros_Equipes distribuídas de projeto,,2,6,6,,3,4,6,2,,2,3,3,2,,,,,4,2,,2,2
Necessidades_2-29 Outros_Outsourcing (Software),2,2,5,2,,3,2,2,2,,,3,3,2,,,,,4,2,,,
Necessidades_2-30 Outros_Processamento de imagens,,2,5,5,,3,,2,2,,2,4,3,2,,,,,2,4,,,
Necessidades_2-31 Outros_Software Embarcado,,2,5,5,,3,,2,2,,,3,3,2,,2,,,2,2,,3,6
Necessidades_2-32 Outros_Software para Monitoramento,,2,5,2,,3,,,6,,,3,3,2,,2,,,,2,,3,
Necessidades_2-33 Outros_Segurança de Sistemas,2,2,5,2,2,3,,3,4,,,4,3,2,,,,,4,2,,,
Necessidades_2-34 Outros_Computacao Ubiqua,2,2,,,2,,,4,2,,,3,3,2,,,,,,2,,,
Necessidades_3-1 Finanças (Empresa),,2,6,2,4,4,,2,5,,,4,3,4,,5,2,,5,4,3,5,4
